O00	Ectopic pregnancy
	產後腎臟感染
  O8622	Infection of bladder following delivery
	產後膀胱感染
  O8629	Other urinary tract infection following delivery
	產後其他泌尿道感染
 O864	Pyrexia of unknown origin following delivery
	產後原因不明發熱
 O868	Other specified puerperal infections
	其他特定的產褥期感染
  O8681	Puerperal septic thrombophlebitis
	產褥期敗血性血栓靜脈炎
  O8689	Other specified puerperal infections
	產褥期其他特定感染
O87	Venous complications in the puerperium
	產褥期靜脈併發症
 O870	Superficial thrombophlebitis in the puerperium
	產褥期表淺血栓靜脈炎
 O871	Deep phlebothrombosis in the puerperium
	產褥期深部靜脈血栓症
 O872	Hemorrhoids in the puerperium
	產褥期痔瘡
 O873	Cerebral venous thrombosis in the puerperium
	產褥期腦部靜脈血栓症
 O874	Varicose veins of lower extremity in the puerperium
	產褥期下肢靜脈曲張
 O878	Other venous complications in the puerperium
	產褥期其他靜脈併發症
 O879	Venous complication in the puerperium, unspecified
	產褥期靜脈併發症，未特定
O88	Obstetric embolism
	產科栓塞
 O880	Obstetric air embolism
	產科空氣栓塞
  O8801	Obstetric air embolism in pregnancy
	妊娠空氣栓塞
   O88011	Air embolism in pregnancy, first trimester
	空氣栓塞，妊娠第一期
   O88012	Air embolism in pregnancy, second trimester
	空氣栓塞，妊娠第二期
   O88013	Air embolism in pregnancy, third trimester
	空氣栓塞，妊娠第三期
   O88019	Air embolism in pregnancy, unspecified trimester
	空氣栓塞，未特定妊娠期
  O8802	Air embolism in childbirth
	空氣栓塞，妊娠第一期
  O8803	Air embolism in the puerperium
	產褥期空氣栓塞
 O881	Amniotic fluid embolism
	羊水栓塞
  O8811	Amniotic fluid embolism in pregnancy
	妊娠羊水栓塞
   O88111	Amniotic fluid embolism in pregnancy, first trimester
	羊水栓塞，妊娠第一期
   O88112	Amniotic fluid embolism in pregnancy, second trimester
	羊水栓塞，妊娠第二期
   O88113	Amniotic fluid embolism in pregnancy, third trimester
	羊水栓塞，妊娠第三期
   O88119	Amniotic fluid embolism in pregnancy, unspecified trimester
	羊水栓塞，未特定妊娠期
  O8812	Amniotic fluid embolism in childbirth
	生產羊水栓塞
  O8813	Amniotic fluid embolism in the puerperium
	產褥期羊水栓塞
 O882	Obstetric thromboembolism
	產科血栓栓塞
  O8821	Thromboembolism in pregnancy
	妊娠血栓栓塞
   O88211	Thromboembolism in pregnancy, first trimester
	血栓栓塞，妊娠第一期
   O88212	Thromboembolism in pregnancy, second trimester
	血栓栓塞，妊娠第二期
   O88213	Thromboembolism in pregnancy, third trimester
	血栓栓塞，妊娠第三期
   O88219	Thromboembolism in pregnancy, unspecified trimester
	血栓栓塞，未特定妊娠期
  O8822	Thromboembolism in childbirth
	生產血栓栓塞
  O8823	Thromboembolism in the puerperium
	產褥期血栓栓塞
 O883	Obstetric pyemic and septic embolism
	產科膿性及敗血性栓塞
  O8831	Pyemic and septic embolism in pregnancy
	妊娠膿性及敗血性栓塞
   O88311	Pyemic and septic embolism in pregnancy, first trimester
	膿性及敗血性栓塞，妊娠第一期
   O88312	Pyemic and septic embolism in pregnancy, second trimester
	膿性及敗血性栓塞，妊娠第二期
   O88313	Pyemic and septic embolism in pregnancy, third trimester
	膿性及敗血性栓塞，妊娠第三期
   O88319	Pyemic and septic embolism in pregnancy, unspecified trimester
	膿性及敗血性栓塞，未特定妊娠期
  O8832	Pyemic and septic embolism in childbirth
	膿性及敗血性栓塞，妊娠第一期
  O8833	Pyemic and septic embolism in the puerperium
	產褥期膿性及敗血性栓塞
 O888	Other obstetric embolism
	其他產科栓塞
  O8881	Other embolism in pregnancy
	其他妊娠栓塞
   O88811	Other embolism in pregnancy, first trimester
	其他栓塞，妊娠第一期
   O88812	Other embolism in pregnancy, second trimester
	其他栓塞，妊娠第二期
   O88813	Other embolism in pregnancy, third trimester
	其他栓塞，妊娠第三期
   O88819	Other embolism in pregnancy, unspecified trimester
	其他栓塞，未特定妊娠期
  O8882	Other embolism in childbirth
	生產時其他栓塞
  O8883	Other embolism in the puerperium
	產褥期其他栓塞
O89	Complications of anesthesia during the puerperium
	產褥期麻醉導致併發症
 O890	Pulmonary complications of anesthesia during the puerperium
	產褥期麻醉導致肺併發症
  O8901	Aspiration pneumonitis due to anesthesia during the puerperium
	產褥期麻醉導致吸入性肺炎
  O8909	Other pulmonary complications of anesthesia during the puerperium
	產褥期麻醉導致其他肺臟併發症
 O891	Cardiac complications of anesthesia during the puerperium
	產褥期麻醉劑導致心臟併發症
 O892	Central nervous system complications of anesthesia during the puerperium
	產褥期麻醉導致中樞神經系統併發症
 O893	Toxic reaction to local anesthesia during the puerperium
	產褥期局部麻醉的毒性反應
 O894	Spinal and epidural anesthesia-induced headache during the puerperium
	產褥期脊髓及硬膜外麻醉導致之頭痛
 O895	Other complications of spinal and epidural anesthesia during the puerperium
	產褥期脊髓及硬膜外麻醉的其他併發症
 O896	Failed or difficult intubation for anesthesia during the puerperium
	產褥期麻醉插管困難或失敗
 O898	Other complications of anesthesia during the puerperium
	產褥期麻醉導致其他併發症
 O899	Complication of anesthesia during the puerperium, unspecified
	產褥期麻醉導致併發症，未特定
O90	Complications of the puerperium, not elsewhere classified
	產褥期併發症，他處未歸類
 O900	Disruption of cesarean delivery wound
	剖腹產傷口裂開
 O901	Disruption of perineal obstetric wound
	會陰傷口裂開
 O902	Hematoma of obstetric wound
	產科傷口血腫
 O903	Peripartum cardiomyopathy
	生產時心肌病變
 O904	Postpartum acute kidney failure
	產後急性腎衰竭
 O905	Postpartum thyroiditis
	產後甲狀腺炎
 O906	Postpartum mood disturbance
	產後情緒障礙
 O908	Other complications of the puerperium, not elsewhere classified
	產褥期其他併發症，他處未歸類
  O9081	Anemia of the puerperium
	產褥期貧血
  O9089	Other complications of the puerperium, not elsewhere classified
	產褥期其他併發症，他處未歸類者
 O909	Complication of the puerperium, unspecified
	產褥期併發症，未特定
O91	Infections of breast associated with pregnancy, the puerperium and lactation
	妊娠與產褥期乳房感染
 O910	Infection of nipple associated with pregnancy, the puerperium and lactation
	妊娠與產褥期乳汁分泌相關的乳頭感染
  O9101	Infection of nipple associated with pregnancy
	妊娠乳頭感染
   O91011	Infection of nipple associated with pregnancy, first trimester
	乳頭感染，妊娠第一期
   O91012	Infection of nipple associated with pregnancy, second trimester
	乳頭感染，妊娠第二期
   O91013	Infection of nipple associated with pregnancy, third trimester
	乳頭感染，妊娠第三期
   O91019	Infection of nipple associated with pregnancy, unspecified trimester
	乳頭感染，未特定妊娠期
  O9102	Infection of nipple associated with the puerperium
	產褥期乳頭感染
  O9103	Infection of nipple associated with lactation
	與乳汁分泌相關的乳頭感染
 O911	Abscess of breast associated with pregnancy, the puerperium and lactation
	妊娠與產褥乳泌期乳頭膿瘍
  O9111	Abscess of breast associated with pregnancy
	妊娠乳房膿瘍
   O91111	Abscess of breast associated with pregnancy, first trimester
	乳房膿瘍，妊娠第一期
   O91112	Abscess of breast associated with pregnancy, second trimester
	乳房膿瘍，妊娠第二期
   O91113	Abscess of breast associated with pregnancy, third trimester
	乳房膿瘍，妊娠第三期
   O91119	Abscess of breast associated with pregnancy, unspecified trimester
	乳房膿瘍，未特定妊娠期
  O9112	Abscess of breast associated with the puerperium
	產褥期乳房膿瘍
  O9113	Abscess of breast associated with lactation
	與乳汁分泌相關的乳房膿瘍
 O912	Nonpurulent mastitis associated with pregnancy, the puerperium and lactation
	妊娠與產褥期乳汁分泌相關的非化膿性乳腺炎
  O9121	Nonpurulent mastitis associated with pregnancy
	妊娠非化膿性乳腺炎
   O91211	Nonpurulent mastitis associated with pregnancy, first trimester
	非化膿性乳腺炎，妊娠第一期
   O91212	Nonpurulent mastitis associated with pregnancy, second trimester
	非化膿性乳腺炎，妊娠第二期
   O91213	Nonpurulent mastitis associated with pregnancy, third trimester
	非化膿性乳腺炎，妊娠第三期
   O91219	Nonpurulent mastitis associated with pregnancy, unspecified trimester
	非化膿性乳腺炎，未特定妊娠期
  O9122	Nonpurulent mastitis associated with the puerperium
	產褥期非化膿性乳腺炎
  O9123	Nonpurulent mastitis associated with lactation
	與乳汁分泌相關的非化膿性乳腺炎
O92	Other disorders of breast and disorders of lactation associated with pregnancy and the puerperium
	妊娠與產褥期其他乳房疾患及乳汁分泌相關的疾患
 O920	Retracted nipple associated with pregnancy, the puerperium, and lactation
	妊娠與產褥期乳汁分泌相關的乳頭凹陷
  O9201	Retracted nipple associated with pregnancy
	妊娠乳頭凹陷
   O92011	Retracted nipple associated with pregnancy, first trimester
	乳頭凹陷，妊娠第一期
   O92012	Retracted nipple associated with pregnancy, second trimester
	乳頭凹陷，妊娠第二期
   O92013	Retracted nipple associated with pregnancy, third trimester
	乳頭凹陷，妊娠第三期
   O92019	Retracted nipple associated with pregnancy, unspecified trimester
	乳頭凹陷，未特定妊娠期
  O9202	Retracted nipple associated with the puerperium
	產褥期乳頭凹陷
  O9203	Retracted nipple associated with lactation
	與乳汁分泌相關的乳頭凹陷
 O921	Cracked nipple associated with pregnancy, the puerperium, and lactation
	妊娠與產褥期乳汁分泌相關的乳頭皸裂
  O9211	Cracked nipple associated with pregnancy
	妊娠乳頭皸裂
   O92111	Cracked nipple associated with pregnancy, first trimester
	乳頭皸裂，妊娠第一期
   O92112	Cracked nipple associated with pregnancy, second trimester
	乳頭皸裂，妊娠第二期
   O92113	Cracked nipple associated with pregnancy, third trimester
	乳頭皸裂，妊娠第三期
   O92119	Cracked nipple associated with pregnancy, unspecified trimester
	乳頭皸裂，未特定妊娠期
  O9212	Cracked nipple associated with the puerperium
	產褥期乳頭皸裂
  O9213	Cracked nipple associated with lactation
	與乳汁分泌相關的乳頭皸裂
 O922	Other and unspecified disorders of breast associated with pregnancy and the puerperium
	妊娠與產褥期其他及未特定乳房疾患
  O9220	Unspecified disorder of breast associated with pregnancy and the puerperium
	妊娠與產褥期乳房疾患
  O9229	Other disorders of breast associated with pregnancy and the puerperium
	妊娠與產褥期其他乳房疾患
 O923	Agalactia
	無乳汁症
 O924	Hypogalactia
	泌乳過少
 O925	Suppressed lactation
	抑制泌乳
 O926	Galactorrhea
	乳漏
 O927	Other and unspecified disorders of lactation
	其他及未特定的乳汁分泌疾患
  O9270	Unspecified disorders of lactation
	乳汁分泌疾患
  O9279	Other disorders of lactation
	其他乳汁分泌疾患
O94	Sequelae of complication of pregnancy, childbirth, and the puerperium
	妊娠、生產及產褥期併發症之後遺症
O98	Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium
	妊娠，生產及產褥期母體感染及分類在他處的寄生蟲疾病
 O980	Tuberculosis complicating pregnancy, childbirth and the puerperium
	妊娠，生產及產褥期結核病
  O9801	Tuberculosis complicating pregnancy
	生產結核病
   O98011	Tuberculosis complicating pregnancy, first trimester
