S00	Superficial injury of head
	右側前臂區位食指屈肌，筋膜及肌腱損傷之後遺症
   S56102	Unspecified injury of flexor muscle, fascia and tendon of left index finger at forearm level
	左側前臂區位食指屈肌，筋膜及肌腱損傷
    S56102A	Unspecified injury of flexor muscle, fascia and tendon of left index finger at forearm level, initial encounter
	左側前臂區位食指屈肌，筋膜及肌腱損傷之初期照護
    S56102D	Unspecified injury of flexor muscle, fascia and tendon of left index finger at forearm level, subsequent encounter
	左側前臂區位食指屈肌，筋膜及肌腱損傷之後續照護
    S56102S	Unspecified injury of flexor muscle, fascia and tendon of left index finger at forearm level, sequela
	左側前臂區位食指屈肌，筋膜及肌腱損傷之後遺症
   S56103	Unspecified injury of flexor muscle, fascia and tendon of right middle finger at forearm level
	右側前臂區位中指屈肌，筋膜及肌腱損傷
    S56103A	Unspecified injury of flexor muscle, fascia and tendon of right middle finger at forearm level, initial encounter
	右側前臂區位中指屈肌，筋膜及肌腱損傷之初期照護
    S56103D	Unspecified injury of flexor muscle, fascia and tendon of right middle finger at forearm level, subsequent encounter
	右側前臂區位中指屈肌，筋膜及肌腱損傷之後續照護
    S56103S	Unspecified injury of flexor muscle, fascia and tendon of right middle finger at forearm level, sequela
	右側前臂區位中指屈肌，筋膜及肌腱損傷之後遺症
   S56104	Unspecified injury of flexor muscle, fascia and tendon of left middle finger at forearm level
	左側前臂區位中指屈肌，筋膜及肌腱損傷
    S56104A	Unspecified injury of flexor muscle, fascia and tendon of left middle finger at forearm level, initial encounter
	左側前臂區位中指屈肌，筋膜及肌腱損傷之初期照護
    S56104D	Unspecified injury of flexor muscle, fascia and tendon of left middle finger at forearm level, subsequent encounter
	左側前臂區位中指屈肌，筋膜及肌腱損傷之後續照護
    S56104S	Unspecified injury of flexor muscle, fascia and tendon of left middle finger at forearm level, sequela
	左側前臂區位中指屈肌，筋膜及肌腱損傷之後遺症
   S56105	Unspecified injury of flexor muscle, fascia and tendon of right ring finger at forearm level
	右側前臂區位無名指屈肌，筋膜及肌腱損傷
    S56105A	Unspecified injury of flexor muscle, fascia and tendon of right ring finger at forearm level, initial encounter
	右側前臂區位無名指屈肌，筋膜及肌腱損傷之初期照護
    S56105D	Unspecified injury of flexor muscle, fascia and tendon of right ring finger at forearm level, subsequent encounter
	右側前臂區位無名指屈肌，筋膜及肌腱損傷之後續照護
    S56105S	Unspecified injury of flexor muscle, fascia and tendon of right ring finger at forearm level, sequela
	右側前臂區位無名指屈肌，筋膜及肌腱損傷之後遺症
   S56106	Unspecified injury of flexor muscle, fascia and tendon of left ring finger at forearm level
	左側前臂區位無名指屈肌，筋膜及肌腱損傷
    S56106A	Unspecified injury of flexor muscle, fascia and tendon of left ring finger at forearm level, initial encounter
	左側前臂區位無名指屈肌，筋膜及肌腱損傷之初期照護
    S56106D	Unspecified injury of flexor muscle, fascia and tendon of left ring finger at forearm level, subsequent encounter
	左側前臂區位無名指屈肌，筋膜及肌腱損傷之後續照護
    S56106S	Unspecified injury of flexor muscle, fascia and tendon of left ring finger at forearm level, sequela
	左側前臂區位無名指屈肌，筋膜及肌腱損傷之後遺症
   S56107	Unspecified injury of flexor muscle, fascia and tendon of right little finger at forearm level
	右側前臂區位小指屈肌，筋膜及肌腱損傷
    S56107A	Unspecified injury of flexor muscle, fascia and tendon of right little finger at forearm level, initial encounter
	右側前臂區位小指屈肌，筋膜及肌腱損傷之初期照護
    S56107D	Unspecified injury of flexor muscle, fascia and tendon of right little finger at forearm level, subsequent encounter
	右側前臂區位小指屈肌，筋膜及肌腱損傷之後續照護
    S56107S	Unspecified injury of flexor muscle, fascia and tendon of right little finger at forearm level, sequela
	右側前臂區位小指屈肌，筋膜及肌腱損傷之後遺症
   S56108	Unspecified injury of flexor muscle, fascia and tendon of left little finger at forearm level
	左側前臂區位小指屈肌，筋膜及肌腱損傷
    S56108A	Unspecified injury of flexor muscle, fascia and tendon of left little finger at forearm level, initial encounter
	左側前臂區位小指屈肌，筋膜及肌腱損傷之初期照護
    S56108D	Unspecified injury of flexor muscle, fascia and tendon of left little finger at forearm level, subsequent encounter
	左側前臂區位小指屈肌，筋膜及肌腱損傷之後續照護
    S56108S	Unspecified injury of flexor muscle, fascia and tendon of left little finger at forearm level, sequela
	左側前臂區位小指屈肌，筋膜及肌腱損傷之後遺症
   S56109	Unspecified injury of flexor muscle, fascia and tendon of unspecified finger at forearm level
	前臂區位未特定手指屈肌，筋膜及肌腱損傷
    S56109A	Unspecified injury of flexor muscle, fascia and tendon of unspecified finger at forearm level, initial encounter
	前臂區位未特定手指屈肌，筋膜及肌腱損傷之初期照護
    S56109D	Unspecified injury of flexor muscle, fascia and tendon of unspecified finger at forearm level, subsequent encounter
	前臂區位未特定手指屈肌，筋膜及肌腱損傷之後續照護
    S56109S	Unspecified injury of flexor muscle, fascia and tendon of unspecified finger at forearm level, sequela
	前臂區位未特定手指屈肌，筋膜及肌腱損傷之後遺症
  S5611	Strain of flexor muscle, fascia and tendon of other and unspecified finger at forearm level
	前臂區位其他及未特定手指屈肌，筋膜及肌腱拉傷
   S56111	Strain of flexor muscle, fascia and tendon of right index finger at forearm level
	右側前臂區位食指屈肌，筋膜及肌腱拉傷
    S56111A	Strain of flexor muscle, fascia and tendon of right index finger at forearm level, initial encounter
	右側前臂區位食指屈肌，筋膜及肌腱拉傷之初期照護
    S56111D	Strain of flexor muscle, fascia and tendon of right index finger at forearm level, subsequent encounter
	右側前臂區位食指屈肌，筋膜及肌腱拉傷之後續照護
    S56111S	Strain of flexor muscle, fascia and tendon of right index finger at forearm level, sequela
	右側前臂區位食指屈肌，筋膜及肌腱拉傷之後遺症
   S56112	Strain of flexor muscle, fascia and tendon of left index finger at forearm level
	左側前臂區位食指屈肌，筋膜及肌腱拉傷
    S56112A	Strain of flexor muscle, fascia and tendon of left index finger at forearm level, initial encounter
	左側前臂區位食指屈肌，筋膜及肌腱拉傷之初期照護
    S56112D	Strain of flexor muscle, fascia and tendon of left index finger at forearm level, subsequent encounter
	左側前臂區位食指屈肌，筋膜及肌腱拉傷之後續照護
    S56112S	Strain of flexor muscle, fascia and tendon of left index finger at forearm level, sequela
	左側前臂區位食指屈肌，筋膜及肌腱拉傷之後遺症
   S56113	Strain of flexor muscle, fascia and tendon of right middle finger at forearm level
	右側前臂區位中指屈肌，筋膜及肌腱拉傷
    S56113A	Strain of flexor muscle, fascia and tendon of right middle finger at forearm level, initial encounter
	右側前臂區位中指屈肌，筋膜及肌腱拉傷之初期照護
    S56113D	Strain of flexor muscle, fascia and tendon of right middle finger at forearm level, subsequent encounter
	右側前臂區位中指屈肌，筋膜及肌腱拉傷之後續照護
    S56113S	Strain of flexor muscle, fascia and tendon of right middle finger at forearm level, sequela
	右側前臂區位中指屈肌，筋膜及肌腱拉傷之後遺症
   S56114	Strain of flexor muscle, fascia and tendon of left middle finger at forearm level
	左側前臂區位中指屈肌，筋膜及肌腱拉傷
    S56114A	Strain of flexor muscle, fascia and tendon of left middle finger at forearm level, initial encounter
	左側前臂區位中指屈肌，筋膜及肌腱拉傷之初期照護
    S56114D	Strain of flexor muscle, fascia and tendon of left middle finger at forearm level, subsequent encounter
	左側前臂區位中指屈肌，筋膜及肌腱拉傷之後續照護
    S56114S	Strain of flexor muscle, fascia and tendon of left middle finger at forearm level, sequela
	左側前臂區位中指屈肌，筋膜及肌腱拉傷之後遺症
   S56115	Strain of flexor muscle, fascia and tendon of right ring finger at forearm level
	右側前臂區位無名指屈肌，筋膜及肌腱拉傷
    S56115A	Strain of flexor muscle, fascia and tendon of right ring finger at forearm level, initial encounter
	右側前臂區位無名指屈肌，筋膜及肌腱拉傷之初期照護
    S56115D	Strain of flexor muscle, fascia and tendon of right ring finger at forearm level, subsequent encounter
	右側前臂區位無名指屈肌，筋膜及肌腱拉傷之後續照護
    S56115S	Strain of flexor muscle, fascia and tendon of right ring finger at forearm level, sequela
	右側前臂區位無名指屈肌，筋膜及肌腱拉傷之後遺症
   S56116	Strain of flexor muscle, fascia and tendon of left ring finger at forearm level
	左側前臂區位無名指屈肌，筋膜及肌腱拉傷
    S56116A	Strain of flexor muscle, fascia and tendon of left ring finger at forearm level, initial encounter
	左側前臂區位無名指屈肌，筋膜及肌腱拉傷之初期照護
    S56116D	Strain of flexor muscle, fascia and tendon of left ring finger at forearm level, subsequent encounter
	左側前臂區位無名指屈肌，筋膜及肌腱拉傷之後續照護
    S56116S	Strain of flexor muscle, fascia and tendon of left ring finger at forearm level, sequela
	左側前臂區位無名指屈肌，筋膜及肌腱拉傷之後遺症
   S56117	Strain of flexor muscle, fascia and tendon of right little finger at forearm level
